automationId,deviceId,dateTime,newState
1,1,2025-02-02 08:00:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""10""}]"
2,2,2025-02-02 09:00:00,"[{""fieldName"": ""channel"", ""datatype"": ""integer"", ""value"": ""5""}]"
3,3,2025-02-03 07:30:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""20.0""}]"
5,1,2025-02-05 20:00:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""15""}]"
6,2,2025-02-07 22:00:00,"[{""fieldName"": ""volume"", ""datatype"": ""integer"", ""value"": ""15""}]"
8,4,2025-02-10 10:00:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""4.0""}]"
9,3,2025-02-12 08:30:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""22.0""}]"
11,1,2025-02-15 19:00:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""8""}]"
12,2,2025-02-17 21:00:00,"[{""fieldName"": ""channel"", ""datatype"": ""integer"", ""value"": ""7""}]"
14,4,2025-02-20 07:00:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""3.5""}]"
16,3,2025-02-25 09:30:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""19.5""}]"
17,1,2025-02-27 22:15:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""6""}]"
18,2,2025-03-01 14:00:00,"[{""fieldName"": ""volume"", ""datatype"": ""integer"", ""value"": ""18""}]"
21,4,2025-03-07 06:45:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""4.8""}]"
23,3,2025-03-12 07:30:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""21.0""}]"
24,1,2025-03-14 19:20:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""9""}]"
25,2,2025-03-16 22:00:00,"[{""fieldName"": ""channel"", ""datatype"": ""integer"", ""value"": ""9""}]"
28,4,2025-03-22 05:00:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""5.5""}]"
30,3,2025-03-27 08:15:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""19.8""}]"
31,1,2025-03-29 21:45:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""7""}]"
32,2,2025-04-01 23:59:00,"[{""fieldName"": ""volume"", ""datatype"": ""integer"", ""value"": ""12""}]"
35,4,2025-04-08 04:30:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""3.9""}]"
37,3,2025-04-12 07:45:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""20.5""}]"
38,1,2025-04-15 19:55:00,"[{""fieldName"": ""hue"", ""datatype"": ""integer"", ""value"": ""4""}]"
39,2,2025-04-18 21:15:00,"[{""fieldName"": ""channel"", ""datatype"": ""integer"", ""value"": ""11""}]"
42,4,2025-04-25 06:00:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""6.0""}]"
44,3,2025-04-30 08:00:00,"[{""fieldName"": ""temperature"", ""datatype"": ""float"", ""value"": ""21.5""}]"
